@relation Plagio
@attribute 'log_size' numeric
@attribute 'input' numeric
@attribute 'backspace' numeric
@attribute 'test' numeric
@attribute 'error_test' numeric
@attribute 'submition' numeric
@attribute 'navegation' numeric
@attribute 'error_submition' numeric
@attribute 'exercise_time' numeric
@attribute 'plagio' {'sim', 'não'}
@data
178,107,48,0,0,0,6,0,116.0,não
580,182,192,10,5,4,61,4,779.0,não
1641,535,576,32,8,12,10,12,2468.0,não
419,158,106,1,0,0,96,0,601.0,não
212,61,38,0,1,1,9,0,307.0,sim
865,507,88,27,2,3,16,2,1564.0,sim
773,451,132,8,6,0,9,0,592.0,não
865,507,88,27,2,3,16,2,1564.0,não
1534,724,180,35,2,43,244,42,2488.0,não
1534,724,180,35,2,43,244,42,2488.0,não
1554,624,321,7,3,9,287,9,1779.0,não
117,45,8,0,0,3,5,2,113.0,não
10,1,0,0,0,0,0,0,36.0,sim
10,1,0,0,0,0,0,0,36.0,sim
1749,242,93,1,0,25,181,25,1078.0,sim
1749,242,93,1,0,25,181,25,1078.0,sim
1169,554,62,6,0,0,425,0,601.0,sim
1169,554,62,6,0,0,425,0,601.0,sim
1169,554,62,6,0,0,425,0,601.0,não
3196,754,338,66,55,11,1511,10,2287.0,não
402,202,77,2,0,0,43,0,300.0,não
581,282,114,8,2,6,19,1,1078.0,não
282,161,46,4,0,0,14,0,298.0,não
282,161,46,4,0,0,14,0,298.0,não
399,144,50,20,3,27,9,25,722.0,não
309,150,82,4,2,0,15,0,237.0,não
201,26,48,0,0,9,58,9,356.0,não
767,260,101,18,13,6,157,2,1023.0,não
292,174,30,5,0,4,15,1,357.0,não
497,212,71,14,11,2,13,2,759.0,não
10,1,0,0,0,0,0,0,2.0,sim
429,119,134,7,3,1,3,0,744.0,sim
1414,489,351,22,9,3,71,1,1920.0,não
999,499,96,10,0,2,57,1,1485.0,não
3619,629,713,65,22,18,1284,18,2041.0,sim
3619,629,713,65,22,18,1284,18,2041.0,sim
54,8,7,0,0,0,0,0,81.0,não
44,7,0,3,0,0,23,0,118.0,não
179,40,52,0,0,42,2,41,180.0,não
530,183,256,5,8,0,7,0,414.0,não
321,41,32,2,2,0,187,0,122.0,sim
181,59,18,8,5,13,45,13,188.0,sim
179,40,52,0,0,42,2,41,180.0,não
842,178,266,49,19,16,122,16,842.0,não
1834,471,332,1,2,15,609,8,1756.0,não
544,256,48,0,0,0,29,0,1193.0,não
579,291,136,5,1,3,15,0,775.0,sim
579,291,136,5,1,3,15,0,775.0,sim
212,135,10,1,0,5,2,0,300.0,sim
212,135,10,1,0,5,2,0,300.0,sim
163,96,10,0,0,1,10,0,235.0,sim
344,155,92,1,0,5,22,5,362.0,sim
263,174,24,2,0,1,20,0,124.0,não
396,189,68,2,0,1,93,1,309.0,não
305,144,108,2,0,0,1,0,478.0,não
305,144,108,2,0,0,1,0,478.0,não
282,146,69,2,0,5,0,4,478.0,não
282,146,69,2,0,5,0,4,478.0,não
3720,1159,773,90,118,0,621,0,4983.0,não
382,161,70,2,0,0,88,0,598.0,não
536,322,98,6,0,2,41,2,718.0,não
10,1,2,0,0,0,0,0,19.0,não
10,1,2,0,0,0,0,0,19.0,sim
378,196,100,0,0,4,6,3,421.0,sim
35,1,2,0,0,0,0,0,76.0,sim
35,1,2,0,0,0,0,0,76.0,sim
659,182,113,19,0,12,126,12,1092.0,não
1077,571,236,9,4,2,0,1,1179.0,não
1336,563,149,5,7,0,137,0,1987.0,não
867,488,133,0,0,4,93,1,662.0,sim
867,488,133,0,0,4,93,1,662.0,sim
585,326,148,2,0,0,44,0,531.0,não
543,358,6,0,0,0,87,0,597.0,não
419,206,42,2,0,3,104,3,299.0,não
419,206,14,11,0,2,91,0,479.0,não
185,124,8,0,0,1,0,0,161.0,sim
185,124,8,0,0,1,0,0,161.0,sim
83,6,0,1,1,3,47,2,114.0,não
1572,686,184,24,7,7,371,7,2473.0,não
602,293,178,6,1,1,37,0,600.0,não
518,240,138,2,6,2,52,1,263.0,não
5232,1787,367,49,18,6,2324,6,4614.0,não
5232,1787,367,49,18,6,2324,6,4614.0,não
162,59,24,4,2,0,11,0,238.0,não
76,37,6,2,0,0,6,0,60.0,não
534,291,69,6,3,3,58,3,588.0,não
479,229,109,0,0,13,47,13,542.0,não
668,244,254,24,12,0,20,0,666.0,não
138,74,2,0,0,2,8,0,211.0,não
307,113,38,2,1,0,39,0,955.0,sim
138,74,2,0,0,2,8,0,211.0,sim
159,32,30,9,0,6,21,6,717.0,sim
49,14,0,0,0,1,27,1,118.0,sim
847,306,106,13,2,13,241,13,912.0,não
565,312,112,2,0,0,12,0,422.0,não
821,343,116,5,4,3,275,3,696.0,não
338,231,24,0,0,1,0,0,482.0,não
338,231,24,0,0,1,0,0,482.0,sim
338,231,24,0,0,1,0,0,482.0,sim
993,402,263,3,0,7,156,5,656.0,não
555,226,185,0,1,15,53,15,667.0,não
2325,686,856,38,31,7,420,6,2117.0,não
485,250,144,5,0,0,49,0,231.0,não
